frame_index,reference_timestamp,elapsed_s,tcp_z_m,sensor_z_m,real_valid_zones,sim_valid_zones,real_mean_distance_mm,sim_mean_distance_mm,paired_valid_zones,mae_mm,bias_mm,no_return_iou
131,2026-06-28T15:43:16.729,12.877998352050781,0.27721205892098727,0.18708044699540943,62,64,189.08064516129033,200.578125,62,12.258064516129032,11.516129032258064,0.0
132,2026-06-28T15:43:16.828,12.977005004882812,0.2771576758081581,0.18702606388258025,62,64,189.08064516129033,200.28125,62,11.85483870967742,11.209677419354838,0.0
133,2026-06-28T15:43:16.925,13.074005126953125,0.27715678499974694,0.1870251730741691,62,64,189.09677419354838,199.640625,62,11.548387096774194,10.548387096774194,0.0
134,2026-06-28T15:43:17.024,13.173004150390625,0.2771752950011904,0.1870436830756126,62,64,188.8709677419355,199.734375,62,11.419354838709678,10.870967741935484,0.0
135,2026-06-28T15:43:17.122,13.271003723144531,0.27716556888031757,0.18703395695473973,62,64,188.69354838709677,198.953125,62,11.096774193548388,10.32258064516129,0.0
136,2026-06-28T15:43:17.220,13.369003295898438,0.2771444294252522,0.18701281749967436,62,64,188.53225806451613,200.046875,62,12.225806451612904,11.548387096774194,0.0
137,2026-06-28T15:43:17.359,13.508003234863281,0.27714323226987264,0.1870116203442948,62,64,188.8548387096774,200.46875,62,12.225806451612904,11.806451612903226,0.0
138,2026-06-28T15:43:17.461,13.610000610351562,0.27715001731642475,0.1870184053908469,62,64,189.01612903225808,201.546875,62,13.080645161290322,12.629032258064516,0.0
139,2026-06-28T15:43:17.553,13.702003479003906,0.277137012629969,0.18700540070439114,62,64,189.09677419354838,200.21875,62,11.580645161290322,11.193548387096774,0.0
140,2026-06-28T15:43:17.641,13.790000915527344,0.2771523251084412,0.18702071318286334,62,64,188.79032258064515,199.734375,62,11.806451612903226,11.064516129032258,0.0
141,2026-06-28T15:43:17.739,13.88800048828125,0.27711562923628374,0.1869840173107059,62,64,189.43548387096774,199.796875,62,11.741935483870968,10.419354838709678,0.0
142,2026-06-28T15:43:17.836,13.985000610351562,0.2771247033860931,0.18699309146051524,62,64,188.98387096774192,200.015625,62,11.758064516129032,11.14516129032258,0.0
143,2026-06-28T15:43:17.935,14.083999633789062,0.27613723912751575,0.18600562720193792,62,64,188.4516129032258,198.96875,62,11.016129032258064,10.564516129032258,0.0
144,2026-06-28T15:43:18.037,14.186004638671875,0.2699889613858247,0.17985734946024684,62,64,183.90322580645162,192.25,62,10.016129032258064,8.435483870967742,0.0
145,2026-06-28T15:43:18.128,14.277000427246094,0.260886207562711,0.1707545956371332,62,64,174.06451612903226,182.34375,62,10.064516129032258,8.161290322580646,0.0
146,2026-06-28T15:43:18.222,14.371002197265625,0.25185710068382716,0.16172548875824933,62,64,163.48387096774192,173.0625,62,10.338709677419354,9.661290322580646,0.0
147,2026-06-28T15:43:18.315,14.464004516601562,0.24760151932087004,0.1574699073952922,62,64,157.90322580645162,167.90625,62,10.758064516129032,10.048387096774194,0.0
148,2026-06-28T15:43:18.420,14.569000244140625,0.24719438129562743,0.1570627693700496,62,64,157.5,168.6875,62,11.403225806451612,11.241935483870968,0.0
149,2026-06-28T15:43:18.522,14.671005249023438,0.24716005932642665,0.15702844740084881,62,64,157.58064516129033,168.5,62,11.161290322580646,10.96774193548387,0.0
150,2026-06-28T15:43:18.617,14.765998840332031,0.24716658764819405,0.1570349757226162,62,64,157.46774193548387,167.71875,62,10.741935483870968,10.258064516129032,0.0
151,2026-06-28T15:43:18.711,14.860000610351562,0.24715571012803927,0.15702409820246144,62,64,157.88709677419354,167.71875,62,10.258064516129032,9.870967741935484,0.0
152,2026-06-28T15:43:18.803,14.952003479003906,0.24714152622276161,0.15700991429718375,62,64,157.5,168.078125,62,11.016129032258064,10.693548387096774,0.0
153,2026-06-28T15:43:18.901,15.050003051757812,0.24711742730406602,0.15698581537848816,62,64,157.5,167.734375,62,10.951612903225806,10.14516129032258,0.0
154,2026-06-28T15:43:18.999,15.148002624511719,0.24708423846660835,0.15695262654103048,62,64,157.4516129032258,167.328125,62,10.35483870967742,9.935483870967742,0.0
155,2026-06-28T15:43:19.091,15.240005493164062,0.24711834068752153,0.1569867287619437,62,64,157.38709677419354,168.28125,62,11.17741935483871,10.919354838709678,0.0
156,2026-06-28T15:43:19.193,15.342002868652344,0.24713161192557787,0.15700000000000003,62,64,157.51612903225808,167.390625,62,10.32258064516129,10.0,0.0
157,2026-06-28T15:43:19.287,15.436004638671875,0.24713709182806248,0.15700547990248465,62,64,157.5483870967742,168.84375,62,11.725806451612904,11.241935483870968,0.0
158,2026-06-28T15:43:19.384,15.533004760742188,0.24709850533760402,0.1569668934120262,62,64,157.69354838709677,167.5,62,10.53225806451613,9.82258064516129,0.0
159,2026-06-28T15:43:19.483,15.632003784179688,0.24710503210172308,0.15697342017614524,62,64,157.5,167.859375,62,10.64516129032258,10.290322580645162,0.0
160,2026-06-28T15:43:19.582,15.731002807617188,0.24711051377512727,0.15697890184954943,62,64,157.75806451612902,167.171875,62,9.661290322580646,9.564516129032258,0.0
161,2026-06-28T15:43:19.680,15.829002380371094,0.24710294277489236,0.15697133084931453,62,64,157.79032258064515,168.140625,62,10.564516129032258,10.338709677419354,0.0
162,2026-06-28T15:43:19.778,15.927001953125,0.24710294277489236,0.15697133084931453,62,64,157.79032258064515,167.84375,62,10.32258064516129,10.096774193548388,0.0
163,2026-06-28T15:43:19.877,16.0260009765625,0.24712051650703976,0.15698890458146192,62,64,157.30645161290323,168.5625,62,11.67741935483871,11.290322580645162,0.0
164,2026-06-28T15:43:19.975,16.124000549316406,0.24514393812909485,0.15501232620351701,62,64,155.3548387096774,165.3125,62,10.451612903225806,10.064516129032258,0.0
165,2026-06-28T15:43:20.074,16.222999572753906,0.23864804059578001,0.14851642867020215,61,64,147.98360655737704,158.625,61,10.737704918032787,10.60655737704918,0.0
166,2026-06-28T15:43:20.171,16.31999969482422,0.22800955019075483,0.13787793826517697,61,64,135.85245901639345,147.21875,61,11.459016393442623,11.327868852459016,0.0
167,2026-06-28T15:43:20.270,16.41899871826172,0.219906938610484,0.12977532668490616,62,64,128.69354838709677,138.484375,62,9.661290322580646,9.661290322580646,0.0
168,2026-06-28T15:43:20.456,16.605003356933594,0.21714227339449943,0.1270106614689216,62,64,125.69354838709677,135.75,62,10.096774193548388,10.0,0.0
169,2026-06-28T15:43:20.467,16.616004943847656,0.21716255324790817,0.12703094132233034,62,64,125.91935483870968,135.34375,62,9.725806451612904,9.338709677419354,0.0
170,2026-06-28T15:43:20.564,16.71300506591797,0.2171694224085588,0.12703781048298096,62,64,126.09677419354838,135.78125,62,9.661290322580646,9.596774193548388,0.0
